QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000805 ri=0 hash=5bb47deb9cd4034413e869cae59591f593df324a207aab01ca1fb42d0c5d3044
QSB_TRACE seq=2147483680 lt=500000806 ri=0 hash=27d30c520dfb6489d2875f462e5e5f6640dc6bb4d2c821ce1936ce9b394eb649
QSB_TRACE seq=2147483680 lt=500000807 ri=0 hash=08d4388b7d57e53e831faa36b6b54ca7dcb70ed2797252435b22f81bce6efad5
QSB_TRACE seq=2147483680 lt=500000808 ri=0 hash=9ba5d12459525fcbe35d21a3ddbd599b7fd998ae84ce47612d5a7e9a39d62776
QSB_TRACE seq=2147483680 lt=500000809 ri=0 hash=c28c54933231a6cdcb7bc11e882f1798c81aa1fe4917ac38cf6c4d2ed40a5dcc
QSB_TRACE seq=2147483680 lt=500000810 ri=0 hash=14fba2cf2cfec94d1b5cb5ada87f2dd04c34ada43ad9d20f74c9f249b59afada
QSB_TRACE seq=2147483680 lt=500000811 ri=0 hash=e0d5ec80ab76a1511db94e3f178aa10a86661121eaa91d66085f8649cd9e5fde
QSB_TRACE seq=2147483680 lt=500000812 ri=0 hash=4ff489fa03ce3ef8803fa13d3e9464d8aa6887f1b7f156cba9be78df5030e297
QSB_TRACE seq=2147483680 lt=500000813 ri=0 hash=e132f62ffea5ee588d35e1fc47753e61b9583bd8f8a46b3ae464b1b4e83726c8
QSB_TRACE seq=2147483680 lt=500000814 ri=0 hash=b725a53ab9522a711ef26cb1b1a807591d669b145bd534bdca186f9ed86142d6
QSB_TRACE seq=2147483680 lt=500000815 ri=0 hash=a0b015f4b803befde95ce72d423b3d94067c7e75feb4d723c8a621427ec82fed
QSB_TRACE seq=2147483680 lt=500000816 ri=0 hash=8ce3ac6dad9831eef85e91ccd96b5e5b4022be8f187f3251afbeed786d6beaa2
QSB_TRACE seq=2147483680 lt=500000817 ri=0 hash=6c871330fc3d9ddfae50606bd3fc1775fe5308cd211d18c209e1d52a2dc7bbd5
QSB_TRACE seq=2147483680 lt=500000818 ri=0 hash=4c969e6560628f891387067506ae06c017c91ea20762d0f6bad466800174aeb6
QSB_TRACE seq=2147483680 lt=500000819 ri=0 hash=ea97946ec402e4ce608710c25951a1394b6e250639bfa9f930b02e1ecfef01c3
QSB_TRACE seq=2147483680 lt=500000820 ri=0 hash=14e5358b81ec85f70d081fe4e40c60bca212448462ace8c9e4ef0b521a908f75
QSB_TRACE seq=2147483680 lt=500000821 ri=0 hash=1a5ac7a3742b1245f09d61ea731b076aa05382802116f919989c6a39e153f1ac
QSB_TRACE seq=2147483680 lt=500000822 ri=0 hash=9068c1b165db6c3e5f56984c52118efc145c85950b42d1979c15ccc1f030e750
QSB_TRACE seq=2147483680 lt=500000823 ri=0 hash=d5521d477da2f488070bbcc07de54298ab385a95a7b1eab0169dae9ed24047d7
QSB_TRACE seq=2147483680 lt=500000824 ri=0 hash=7be66bc132378a5e89c9059856597280a8e89bc4d43b0c1df7d542e133a37964
QSB_TRACE seq=2147483680 lt=500000825 ri=0 hash=cfb4be12d2b5c9cf1dc2649c6a2ee61dc4c100b08493e331aa34a9c4e75da191
QSB_TRACE seq=2147483680 lt=500000826 ri=0 hash=5e1a6ac42dc76a3c827844c6b0a1f9eca3e981f540c3ae592808f9486af4f23e
QSB_TRACE seq=2147483680 lt=500000827 ri=0 hash=a4eb95657454f491b1c6ad5267cd68bb0b616cff405fafc57fe7f141b83f5523
QSB_TRACE seq=2147483680 lt=500000828 ri=0 hash=a6306fbb3f1740489a069f40326652f273f98e6075bf837fa671a6aac7e669c5
QSB_TRACE seq=2147483680 lt=500000829 ri=0 hash=9cbb97a068b0677eb08b2a1eb890ca0c156695687d491ffbf90fc92274a1771d
QSB_TRACE seq=2147483680 lt=500000830 ri=0 hash=fc964b3b5b3b8f4ae2eb3b825b1b131aaf62954b8cb87f112b2a2ac3d3f5dcce
