QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 12 bytes, seq@0, lt@4
  Mode: REAL
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000256,500000513) (257), seq=[0x80000002+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483650 lt=500000357 ri=0 hash=2a06097a2bcf26b84cfd5f3a65a2626cb1881ce4741f3012453c3ab373f9f122
QSB_TRACE seq=2147483650 lt=500000358 ri=0 hash=b3d5f4331c706963c30858973c5baced8cc19fc91b1038eb25b08acbef98bbbf
QSB_TRACE seq=2147483650 lt=500000359 ri=0 hash=5491200648ee665ed6fe59efdb248c4fc1b7bedac4681ff2d44e12cb634c4835
QSB_TRACE seq=2147483650 lt=500000360 ri=0 hash=0b9168b4b12282e60a987ff41f6c09159231c8bfaff3b52f4b2c38186feeda33
QSB_TRACE seq=2147483650 lt=500000361 ri=0 hash=8178efe025803e29e8608448852ffd2f9ab4b5f9294d2235f901b2aa5719db0e
QSB_TRACE seq=2147483650 lt=500000362 ri=0 hash=63dafccf0f99aa79713388960bd23e78e7bbbf5053cc9edbdcc4cc34289b253d
QSB_TRACE seq=2147483650 lt=500000363 ri=0 hash=40357c5cd840fff9ea717f367cd259ef6f9d18c209d6e6f211d176aa426e9cf3
QSB_TRACE seq=2147483650 lt=500000364 ri=0 hash=5d657adc24fb0c94f1b36641b1e48190fbf9f8deebd81fea94c9d1fc9fe4877f
QSB_TRACE seq=2147483650 lt=500000365 ri=0 hash=db912e0936d933f3e45efc2f936ebce158236318109dab2921e1d630337ac516
QSB_TRACE seq=2147483650 lt=500000366 ri=0 hash=6df365d7a8c247e829ea6f01f71032257f9990f7a58b5721bd85520944dccebe
QSB_TRACE seq=2147483650 lt=500000367 ri=0 hash=c2d175e6fd96536d590225069a38c31fe29edc92e05fbf85101be8d374750a0b
QSB_TRACE seq=2147483650 lt=500000368 ri=0 hash=4db19d912d8ad2b907e79e8263899dcee6da02efb0c251302cc896e4ab8d61b2
QSB_TRACE seq=2147483650 lt=500000369 ri=0 hash=b48bc39d3c468e87de441d72293690ed648ac2206a81ca5f7ddddbb2782dbb45
QSB_TRACE seq=2147483650 lt=500000370 ri=0 hash=ae857926387e3b1e697fbb6292c4c65d02fff77688c5d8fb9e11692a2819a9ec
QSB_TRACE seq=2147483650 lt=500000371 ri=0 hash=69e01cdc7abf95a93cde7ef6db49fe3a165d17bf361df0fdce78f3a1c962bc10
QSB_TRACE seq=2147483650 lt=500000372 ri=0 hash=8f2e91e10dfd0ad497704ff2544114a7431b7b6f7fbd1357f4fb3fb99b0017f7
QSB_TRACE seq=2147483650 lt=500000373 ri=0 hash=2c14edba838b4bb24911a54facd457eee2eb2d6b5427afb44f0d7191a8474778
QSB_TRACE seq=2147483650 lt=500000374 ri=0 hash=46a9a4ee9fe57a2233b78219d56cb450d976b9b29234180ac2657aa17d7cd6d9
QSB_TRACE seq=2147483650 lt=500000375 ri=0 hash=64a908ac0faa343404dae417ddc4ca775b0204c588e0dd7c3f4cca2e6e112716
QSB_TRACE seq=2147483650 lt=500000376 ri=0 hash=4c4d2d3509e506aeda372bd4497080e9a8c2f87099bf48ce0920ce46d0973c2b
QSB_TRACE seq=2147483650 lt=500000377 ri=0 hash=39cd7de98c981ac860a472239b327b70546dca24dd18acc2758f9117e923fc0f
QSB_TRACE seq=2147483650 lt=500000378 ri=0 hash=5febd517c1341df53459fc29ed02e9e36c9f6abe77ed16975162b3223b7d7a24
QSB_TRACE seq=2147483650 lt=500000379 ri=0 hash=c42c2a2c67a432d36c55441989b46a338e3f9eb7f757e69f5a91da8779ed3e37
QSB_TRACE seq=2147483650 lt=500000380 ri=0 hash=e15bc5a6f8d58cbdc89c4e894438257880aa44fb10e5c4c853e427e98662cdac
QSB_TRACE seq=2147483650 lt=500000381 ri=0 hash=fee7ad1225558ce5e920a8eb81a7c9bf0619deb2fa57fe18585bf0f6465c581c
QSB_TRACE seq=2147483650 lt=500000382 ri=0 hash=3358f771c3b0c353692c01a6e0dcffa6b690b69d5270a443dabab3353d5031cf
QSB_TRACE seq=2147483650 lt=500000383 ri=0 hash=f18a7b85773923666bfc58a87dcddb1a316849ad73ab61e238ffc777a295b836
QSB_TRACE seq=2147483650 lt=500000256 ri=0 hash=8e9bed631e1cb696774a7f02ebc6406f29f955672eddf7382a5baa545a60bc5b
QSB_TRACE seq=2147483650 lt=500000257 ri=0 hash=7935d2f7be0a014c1a58654855e7d83e97c4ef3e697cafa39be7358f91092469
QSB_TRACE seq=2147483650 lt=500000258 ri=0 hash=dd963645141a7be0f041c664d16b4dd39eebdef65716ea2a85809176acbc2523
QSB_TRACE seq=2147483650 lt=500000259 ri=0 hash=11feb40260cca78d8c03f70deabfbc1e5d63f71d480383a0059612cedbc893a4
QSB_TRACE seq=2147483650 lt=500000260 ri=0 hash=c752684618fe6358d50cde622afe69c3c8b549ca99df7e8630f1c409ab6e29cb
QSB_TRACE seq=2147483650 lt=500000261 ri=0 hash=c134955d5b8fdcb2fad809b5229a5f94dcf612edb05b3a758c3ec0450a316ed4
QSB_TRACE seq=2147483650 lt=500000262 ri=0 hash=ebc119ca64958584f85d11dde9f2e573a79ad9d0c158208f557e076318d5231c
QSB_TRACE seq=2147483650 lt=500000263 ri=0 hash=dd93d69de8444ef5486c8620486a13cc6fb4bae1789f9c6fd054dda74c995060
QSB_TRACE seq=2147483650 lt=500000264 ri=0 hash=6f1c31a97f513a927af324771e8423d852d20e93a4b906f028e7ceecb4dfbaca
QSB_TRACE seq=2147483650 lt=500000265 ri=0 hash=a6f170545f3d35083e5dfd4cff6dacef68def76b451e23a8cfb1cb10c3446cf9
QSB_TRACE seq=2147483650 lt=500000266 ri=0 hash=85f20f98dfa3d7540f4900f71b289ceeddbc3ee85b6efbca8334575a01d2c9af
QSB_TRACE seq=2147483650 lt=500000267 ri=0 hash=3701fab0fb13fe00a42acfa2acc43763e1980dea45acb47c0845540132cdbbcd
