QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000772 ri=0 hash=9fdc473ab54e2704991b6088933e1e6bcc48ddc64820d6194090291b9ec38b4f
QSB_TRACE seq=2147483680 lt=500000773 ri=0 hash=82e9ec317483d19fd8ad12ad150b830fc8be35c09d714d00c81390d010fcd6e8
QSB_TRACE seq=2147483680 lt=500000774 ri=0 hash=c1056c52c5881e00195400c845cfb3085277c6c6cbd43be2bc6151c9548063c8
QSB_TRACE seq=2147483680 lt=500000775 ri=0 hash=3f1996c9a39ea4c4ba77c7f5dfc41e88b4eae2c70116f4309997b1e0f5c5e899
QSB_TRACE seq=2147483680 lt=500000776 ri=0 hash=c1987d5e64b527bbfe0e0780be82a07d9481f20960fc6f2bc885893a02b89519
QSB_TRACE seq=2147483680 lt=500000777 ri=0 hash=f2ccfab52215c225cfb444cdab774ba7989b5b71eb6af3e198f25923c2ddf3bd
QSB_TRACE seq=2147483680 lt=500000778 ri=0 hash=1aa3d7f50faee1f0a4fd9adc27eb8e7341817607e3b82380cd96815687c02419
QSB_TRACE seq=2147483680 lt=500000779 ri=0 hash=67d9e16a724f1118a8bf32553f7215a75b6080eb4d113bcbdf276c8dca97d72c
QSB_TRACE seq=2147483680 lt=500000780 ri=0 hash=0394bebb945e528431cfd9a90d427c1747ec69cbabc6a4d8679f881d45ec3942
QSB_TRACE seq=2147483680 lt=500000781 ri=0 hash=885e6b7820e62d400e2d075ce3cf5e87b12515bcce9599d1c7c047559b409837
QSB_TRACE seq=2147483680 lt=500000782 ri=0 hash=7662efa15ba7852b80c29ec6952681e31a6282454f0662f36b45817b09d29824
QSB_TRACE seq=2147483680 lt=500000783 ri=0 hash=faef7e3ca3216f5c1cffd7ae16dd1e43be371c687b7704f350925bfb1d71e40f
QSB_TRACE seq=2147483680 lt=500000784 ri=0 hash=bd30cd30c705556b92d76d1222ef359233617181e0b126e488e894fab1a6a6f5
QSB_TRACE seq=2147483680 lt=500000785 ri=0 hash=289bf9d56b26a4c76da6f83a31d1810e26e250a0c88367a237e19a21c41c636a
QSB_TRACE seq=2147483680 lt=500000786 ri=0 hash=8c0fd831eb8c4d54158cac1b1dc9bc8233d38cab173331a3326cd8cbfba9d844
QSB_TRACE seq=2147483680 lt=500000787 ri=0 hash=1aff6a55b2661564fc7ee2162fc0dfe1ef4030447b536dd2b2043b80b0d19a47
QSB_TRACE seq=2147483680 lt=500000788 ri=0 hash=c7cfe1533f622710dcc98eafd9483385fff0686bf8128a64923d7998e965b431
QSB_TRACE seq=2147483680 lt=500000789 ri=0 hash=5f41285b59a25f3868f16f66f7a8655fb4861ad3244fa1eee849289fc4c85e09
QSB_TRACE seq=2147483680 lt=500000790 ri=0 hash=06a1d761c20bea51795e78b8025df560e334dc846c0227f82821956ba50c44ba
QSB_TRACE seq=2147483680 lt=500000791 ri=0 hash=335875f548aeb7c2bfe7944be9103ae651f2a0fbefb1964c20dcd8d1b7ae5dda
QSB_TRACE seq=2147483680 lt=500000792 ri=0 hash=369f8ef55ea97eaa388dadd675d01af64199d82267591bd582661beba1dc9378
QSB_TRACE seq=2147483680 lt=500000793 ri=0 hash=1f8cb8588dc1b3c3d2c02f4c2ecbeb8a751de8d4509c165feb1e6fbfb515d3d0
QSB_TRACE seq=2147483680 lt=500000794 ri=0 hash=7f1670a0a120ba89eed0ff422cc6975d398e79a665c03310d285d15804513e79
QSB_TRACE seq=2147483680 lt=500000795 ri=0 hash=a59a4abcf632b7683c34917591b493af7e7f90b130194d0801820190b6137540
QSB_TRACE seq=2147483680 lt=500000796 ri=0 hash=a64c6d689a94b81e7d237cb6ea941e525902695fdcace197fa1897c2db9bf655
QSB_TRACE seq=2147483680 lt=500000797 ri=0 hash=9910df5f750df1322ecb7f2fcf21330dd350c28ce83864e98fc9e5b7d4515bbf
QSB_TRACE seq=2147483680 lt=500000798 ri=0 hash=3162c39059244ba2dce20bf599fe7b887ba4918676a31cd0a4ed145c1b3d83d1
QSB_TRACE seq=2147483680 lt=500000799 ri=0 hash=edaafd009276478e03c4cd801a2687acc6f91f7d294f6a830e79ffcdbe0cf422
QSB_TRACE seq=2147483680 lt=500000800 ri=0 hash=c99dbd9ebbfd28f5c8673306cf12aaab9c54dbc3c34f020bc7e2aebea8cb6779
QSB_TRACE seq=2147483680 lt=500000801 ri=0 hash=7e952a908d7f1ebb0415f115f05a3287a319476c502135b6ca9ae9429d5d107e
QSB_TRACE seq=2147483680 lt=500000802 ri=0 hash=7f2b811103f7d8aec9abd572d53fa92d5d4ad66e4136c3df49e5303a3d11d1f9
QSB_TRACE seq=2147483680 lt=500000803 ri=0 hash=6b9782be8681b87ed4af61f31b560a90fb41baf5c4f491c68fe12003c44163d4
QSB_TRACE seq=2147483680 lt=500000804 ri=0 hash=5145f9edd8cde343d55af97957a8e641c84791c78865547efeca5bd4c5d63ed7
QSB_TRACE seq=2147483680 lt=500000805 ri=0 hash=2de0cc18c27b1cb3a91eaecae854e5e3d24577bff3c6aea85cd1ccbf447608c0
QSB_TRACE seq=2147483680 lt=500000806 ri=0 hash=997a977addc8876feb2af77e9522caf5e123d28a92c7e2ae000402050f2b43ac
QSB_TRACE seq=2147483680 lt=500000807 ri=0 hash=1a3fc2d3bd5918cd1948614b468a18fe85cc806f8d9a207b2ff3e8334030d1c0
QSB_TRACE seq=2147483680 lt=500000808 ri=0 hash=b10235906118d8a89c91cb147ade00c255b6d85d82829ba5bef3e43b4d86424c
QSB_TRACE seq=2147483680 lt=500000809 ri=0 hash=0d6e36290a573831498521caa02403fe1583dc0def0652aff4c4d07f5c2098b7
QSB_TRACE seq=2147483680 lt=500000810 ri=0 hash=6b61ee4d58e5ad0bb41002d896905416d29418461161580d9221098efe1bb90d
QSB_TRACE seq=2147483680 lt=500000811 ri=0 hash=d685bd65cfd2e52e179549234bd71e9e7450c8fa33c04655405c7a89f0fdf681
QSB_TRACE seq=2147483680 lt=500000812 ri=0 hash=11ac4466d126f902f983cf7e17f8f6e7ccaf984c297e0cae970770ffe75e4f34
QSB_TRACE seq=2147483680 lt=500000813 ri=0 hash=0927ed4b39570bbe67030ad207de8b7d1bfc996f89fc4a63fd957ddfe7e2e9aa
QSB_TRACE seq=2147483680 lt=500000814 ri=0 hash=48a9cf2f105e9495ece3771f8937b0fdd90f6cdd838ff8f604d629bb3c7d6abf
QSB_TRACE seq=2147483680 lt=500000815 ri=0 hash=8a14a39bf9f6cc02f1f9d226b3e33adf542ca7f6709481c49bfde5fa2ebe3d19
QSB_TRACE seq=2147483680 lt=500000816 ri=0 hash=6769dc6bfb287177c5464d3ceb7ac4216de307d2d3741d0258742a8edde5d6a0
QSB_TRACE seq=2147483680 lt=500000817 ri=0 hash=2a305eb243f9afc20430551a7e12de428680857291b20009123e9a0be6acbbc4
QSB_TRACE seq=2147483680 lt=500000818 ri=0 hash=c520ec982a137ddb15c3fa5f995f60a8eee8258bfcb1345fcfdd2ab30115d581
QSB_TRACE seq=2147483680 lt=500000819 ri=0 hash=8e689e23a921bf5a335070c7697be1c5ecbed4f45dd68e20afb5e1871bfb5828
QSB_TRACE seq=2147483680 lt=500000820 ri=0 hash=5788e03e2d0c40ad1b4a5c485b314cf12e6f3e27cfa55d07901d55f00d1c4d9a
QSB_TRACE seq=2147483680 lt=500000821 ri=0 hash=8a89c2994f4013f82589ba75fc31132aa387e17a032af27dbb9e6da67d58e870
QSB_TRACE seq=2147483680 lt=500000822 ri=0 hash=05d444aa66c8ac3bee0b74f92f574aba978ed2bd84aa0496503094098e31be85
QSB_TRACE seq=2147483680 lt=500000823 ri=0 hash=087414bf1edaa849d4ae2ad44c6df0418a69bc2af44c3d66bc352b9d5e7068fb
QSB_TRACE seq=2147483680 lt=500000824 ri=0 hash=5a6ff139ec96c37405dd7e31369d6e9e07321ec895ece16e999d170b72c63de1
QSB_TRACE seq=2147483680 lt=500000825 ri=0 hash=86b52d1cc22a6696db265eb3014f338e8ffa4f9c0d5a601a93048f1b63f729af
QSB_TRACE seq=2147483680 lt=500000826 ri=0 hash=397d28a5a1745f6b09df6a732039bf8ee822aafd2f916c03885fb17145da4f78
QSB_TRACE seq=2147483680 lt=500000827 ri=0 hash=29d38f757c411529fe6db92a6bf4cc00cd0152cf77252363647138f67acf9e9a
QSB_TRACE seq=2147483680 lt=500000828 ri=0 hash=8ed07c77d70dacf7b6bf2a24c7e15d5d341f8189a06f51aed4f928b47b615372
QSB_TRACE seq=2147483680 lt=500000829 ri=0 hash=3ef0a7d5a35aeaef51fb4f7c653b56bc883949e4de98c980d1eacd28eff0c806
QSB_TRACE seq=2147483680 lt=500000830 ri=0 hash=c4d28ae2585c24f9f6036c3855cd587af1f0161a2d460f4383368ddb4100e04f
QSB_TRACE seq=2147483680 lt=500000831 ri=0 hash=6c2f4ba34a3bd14679c307f6129bffbbbee628f1a25f8d6d392f3a805b9aeb62
QSB_TRACE seq=2147483680 lt=500000832 ri=0 hash=3f49dd0d22f9a328273d81aadd6c53ff0678e1ce1080bd3992834e4cc7bef390
QSB_TRACE seq=2147483680 lt=500000833 ri=0 hash=ebde7994046094640f71d38618261587fcb6d00d6a7fe4879e4984bb0a8bf462
QSB_TRACE seq=2147483680 lt=500000834 ri=0 hash=c9109d655ac9cdf3e6d69634728d3c1f31d488c5088640ccde04af806fcee39c
QSB_TRACE seq=2147483680 lt=500000835 ri=0 hash=ba6cd8ca21edf447027a5bd55c43e523acc98939d731d87fc1aa11ff83ae02a0
QSB_TRACE seq=2147483680 lt=500000836 ri=0 hash=b10ebc6e874eb15a481b970c9c906959fd5c9f0fd1dd1d81703a1f6e657e3816
QSB_TRACE seq=2147483680 lt=500000837 ri=0 hash=3daca5d762c87ace32f9b144e171f74488a3f482584f536dab9f025e23b18844
QSB_TRACE seq=2147483680 lt=500000838 ri=0 hash=f0f955327fb75dea27eac513084cc6e7f88fe07f74ab054598808ea58b469e9d
QSB_TRACE seq=2147483680 lt=500000839 ri=0 hash=88354b62b03df9491b164c5b6124a8584ef5c7aca16575347d3d52391a9e8d10
