QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.77s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@0, lt@67
  Mode: REAL
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000000,500000129) (129), seq=[0x80000001+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483649 lt=500000037 ri=0 hash=8a65c394176c2f69cd995762356e8fad9acf075611cf94a22d814ff2e9ed073e
QSB_TRACE seq=2147483649 lt=500000038 ri=0 hash=23addaae64f2485572911e5babfb938d3a264387e9bb1e0817d0b66462a6bb13
QSB_TRACE seq=2147483649 lt=500000039 ri=0 hash=633d29e8ff31e2da523edb586ca4dbf91e4151f31b0c2cddae01982bddd6087b
QSB_TRACE seq=2147483649 lt=500000040 ri=0 hash=b2bc921be27990b9e9a1932609fd1b4c642035910cd1d97677c64c49d1291d7b
QSB_TRACE seq=2147483649 lt=500000041 ri=0 hash=78d9428d76dd2f5fac94431b9a3ace0a9625f407db809971f1693982274912ee
QSB_TRACE seq=2147483649 lt=500000042 ri=0 hash=10d3e2afe22057fbd005337f9b5045e65016a61d2c1f4d976a678073f5b52998
QSB_TRACE seq=2147483649 lt=500000043 ri=0 hash=5cfe92f3094ef39c818397982f0dfc30970fbcda4adb1d59fa955058799e5891
QSB_TRACE seq=2147483649 lt=500000044 ri=0 hash=2a6992a9f0f0d3fc4f842ff1b5e75d0e470a936097241f27919f6f0f4410eb45
QSB_TRACE seq=2147483649 lt=500000045 ri=0 hash=c384784283ad3fc8659bb5b839c01cebc3f38a399bb8be847a391e7f4f29bc74
QSB_TRACE seq=2147483649 lt=500000046 ri=0 hash=5272bc8ccf137d74f6da6d2e93f71b3b7bd823b3ddbe9c539a1ae087d01c3df1
QSB_TRACE seq=2147483649 lt=500000047 ri=0 hash=f8eefcb249dd2e8bac23034a8186eaf7e9eac4c86d222d3f117fd4256f8e7eae
QSB_TRACE seq=2147483649 lt=500000048 ri=0 hash=313cf3b3c2a2b57b294d17c6b729e12cb73d08f5f204a932ef05f12599f64e31
QSB_TRACE seq=2147483649 lt=500000049 ri=0 hash=c5f5700d65692f739ea494ec1c10256f617a907a9fa9b4ecc078e00725ed6555
QSB_TRACE seq=2147483649 lt=500000050 ri=0 hash=bdc11eef0b8801341a2d743d8ef48694ecc471cb3b0d5c31bae3d18a6ebaba04
QSB_TRACE seq=2147483649 lt=500000051 ri=0 hash=bf6f0001768bdcf07dd6c4195c7aebd8daa0670d1b22f83e98d44f919557e0d0
QSB_TRACE seq=2147483649 lt=500000052 ri=0 hash=1bb5f1e99c223f034d83c4705373e33f3fdf58569848d7d3711ea24d96c5caff
QSB_TRACE seq=2147483649 lt=500000053 ri=0 hash=38e1deda22efd1e51895ea11f2052a6ee2ee182c8cd17f266c6377b0617d5111
QSB_TRACE seq=2147483649 lt=500000054 ri=0 hash=608531446a5273ba6a7bf854d104139ad4bf9b337018462448a96efd552de181
QSB_TRACE seq=2147483649 lt=500000055 ri=0 hash=6ceea78abcabf77c18f4af6a86dabb701e6da195f39cfa2bd3cd64a7fd7110e1
QSB_TRACE seq=2147483649 lt=500000056 ri=0 hash=9b2f3b9ca0092f10c437fea0963937eb38b27698eaa9cd0b54162430bb81e392
QSB_TRACE seq=2147483649 lt=500000057 ri=0 hash=952bbba188d7139e688b6665212b46563a7ba367815374211b92639d7072361e
